algo,run_name,timesteps,mean_reward,std_reward,learning_rate,gamma,buffer_size,batch_size,train_freq,target_update_interval
dqn,sweep_01,150000,84.55139923095703,4.199666500091553,0.001,0.95,50000,64,4,400
dqn,sweep_02,150000,116.75849151611328,11.561666488647461,0.001,0.99,100000,64,4,800
dqn,sweep_03,150000,103.73851776123047,6.629651069641113,0.0005,0.97,100000,128,8,600
dqn,sweep_04,150000,-90.494873046875,3.6682605743408203,0.0005,0.995,120000,128,4,1000
dqn,sweep_05,150000,-123.28970336914062,40.7474479675293,0.0003,0.99,150000,256,4,1200
dqn,sweep_06,150000,-67.6419448852539,3.159508466720581,0.0003,0.98,80000,128,8,900
dqn,sweep_07,150000,81.4343032836914,3.1479315757751465,0.0002,0.99,200000,256,4,1500
dqn,sweep_08,150000,-108.89541625976562,7.003035068511963,0.0002,0.995,200000,128,2,1600
dqn,sweep_09,150000,-67.56938934326172,5.709645748138428,0.0001,0.99,120000,64,4,700
dqn,sweep_10,150000,91.46402740478516,1.0168771743774414,0.0007,0.96,60000,64,8,500
