algo,run_name,timesteps,mean_reward,std_reward,learning_rate,gamma,ent_coef,n_steps
ppo,sweep_01,70000,78.1842041015625,140.3293914794922,0.0003,0.95,0.0,512
ppo,sweep_02,70000,-317.3644104003906,1.426194429397583,0.0003,0.99,0.0,1024
ppo,sweep_03,70000,-88.98189544677734,6.208031177520752,0.0002,0.99,0.01,1024
ppo,sweep_04,70000,-189.2220001220703,3.8431453704833984,0.0002,0.995,0.02,2048
ppo,sweep_05,70000,-317.3644104003906,1.426194429397583,0.0001,0.99,0.02,1024
ppo,sweep_06,70000,-278.1518859863281,59.40837860107422,0.0001,0.98,0.03,512
ppo,sweep_07,70000,38.54170608520508,55.84995651245117,0.0005,0.97,0.0,512
ppo,sweep_01,70000,78.1842041015625,140.3293914794922,0.0003,0.95,0.0,512
ppo,sweep_02,70000,-317.3644104003906,1.426194429397583,0.0003,0.99,0.0,1024
ppo,sweep_03,70000,-88.98189544677734,6.208031177520752,0.0002,0.99,0.01,1024
ppo,sweep_04,70000,-189.2220001220703,3.8431453704833984,0.0002,0.995,0.02,2048
ppo,sweep_05,70000,-317.3644104003906,1.426194429397583,0.0001,0.99,0.02,1024
ppo,sweep_06,70000,-278.1518859863281,59.40837860107422,0.0001,0.98,0.03,512
ppo,sweep_07,70000,38.54170608520508,55.84995651245117,0.0005,0.97,0.0,512
ppo,sweep_08,70000,-77.1788330078125,18.026334762573242,0.0005,0.99,0.01,2048
ppo,sweep_09,70000,162.28651428222656,3.6752285957336426,0.0007,0.96,0.0,256
ppo,sweep_10,70000,-304.8302307128906,28.46846580505371,0.00015,0.995,0.015,1024
