algo,run_name,timesteps,mean_reward,std_reward,learning_rate,gamma,entropy_beta,episodes,last_10_ep_mean
reinforce,sweep_01,70000,-218.599609375,1.5681736469268799,0.0008,0.99,0.05,241,-62.327807058334336
reinforce,sweep_02,70000,-104.09098052978516,15.675127029418945,0.0008,0.95,0.05,246,-22.780184836864457
reinforce,sweep_03,70000,-226.90455627441406,12.416921615600586,0.0005,0.99,0.08,242,-67.92003441143035
reinforce,sweep_04,70000,-218.31626892089844,1.9089001417160034,0.0005,0.995,0.03,233,-46.878023458480826
reinforce,sweep_05,70000,-226.90455627441406,12.416921615600586,0.0003,0.99,0.1,231,-35.44976360750197
reinforce,sweep_06,70000,-193.044677734375,1.3427996635437012,0.0003,0.97,0.05,235,-71.10248002767563
reinforce,sweep_07,70000,-239.06976318359375,2.9189295768737793,0.001,0.99,0.02,242,-17.849634738445282
reinforce,sweep_08,70000,-239.06976318359375,2.9189295768737793,0.001,0.95,0.08,247,35.227377744674676
reinforce,sweep_09,70000,-239.8778533935547,2.4453670978546143,0.0006,0.98,0.06,243,-19.168829545021055
reinforce,sweep_10,70000,-219.32786560058594,10.739165306091309,0.0004,0.99,0.04,231,-52.53991223812103
